Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - With wage or salary income,Margin of Error; Total: - With wage or salary income,Estimate; Total: - No wage or salary income,Margin of Error; Total: - No wage or salary income
Friendship,34,1074.0,122.065556157,983.0,133.454111964,91.0,57.706152185
Garfield,35,1571.0,116.914498673,991.0,109.370928496,580.0,100.359354322
Glen Hazel,36,241,80,70,46,171,77
Greenfield,37,3438.0,251.708164349,2620.0,265.29983038,818.0,160.402618433
Hays,38,185,43,133,40,52,33
Hazelwood,39,1870.0,201.881153157,1093.0,174.83420718,777.0,150.602124819
Highland Park,40,2977.0,243.973359202,2315.0,246.412256189,662.0,148.293627644
Homewood North,41,1210.0,129.645670965,729.0,115.866302263,481.0,98.9191589128
Homewood South,42,1082.0,116.90166808,556.0,95.5562661472,526.0,88.8538125237
Homewood West,43,392.0,75.0066663704,181.0,61.554853586,211.0,65.4599113962
Knoxville,44,1510.0,218.716711752,997.0,204.247399004,513.0,140.303243013
Larimer,45,652.0,91.7496593999,338.0,69.9785681477,314.0,68.6585755751
Lincoln Place,46,1460.0,139.907112043,919.0,138.755180084,541.0,118.131282901
Lincoln-Lemington-Belmar,47,1959.0,154.466824917,1218.0,147.003401321,741.0,117.435088454
Lower Lawrenceville,48,1257.0,125.39936204,874.0,120.241423811,383.0,95.1892851113
Manchester,49,984.0,119.331471121,660.0,106.301458127,324.0,88.5663593019
Marshall-Shadeland,50,1565.0,182.655413279,1122.0,177.713252179,443.0,99.6945334509
Middle Hill,51,926.0,122.086035237,471.0,96.8916921103,455.0,113.057507491
Morningside,52,1534.0,141.55564277,1161.0,147.814072402,373.0,89.2524509468
Mount Oliver Borough,53,1465.0,173.890770313,1026.0,160.209238186,439.0,127.078715763
Mount Washington,54,4385.0,249.523545982,3274.0,245.878018537,1111.0,160.215479902
Mt. Oliver,55,261,57,221,58,40,19
New Homestead,56,379,32,267,32,112,30
North Oakland,57,2972.0,230.516810666,1993.0,221.19448456,979.0,154.925788686
North Shore,58,154.0,45.1220566907,147.0,44.1474801093,7.0,15.6204993518
Northview Heights,59,510,81,373,88,137,50
Oakwood,60,552,46,316,50,236,43
Overbrook,61,1594.0,104.144130896,1175.0,112.973448208,419.0,71.2109542135
Perry North,62,1625.0,132.238421044,1334.0,131.034346642,291.0,71.2671032104
Perry South,63,1630.0,164.28937884,929.0,140.082118773,701.0,120.507261192
Point Breeze,64,2342.0,137.433620341,1909.0,128.774997574,433.0,104.172933145
Point Breeze North,65,996.0,148.721215702,789.0,143.471251476,207.0,120.718681239
Polish Hill,66,710.0,77.8973683766,509.0,81.5659242576,201.0,46.3249392876
Regent Square,67,476,28,358,35,118,32
Ridgemont,68,162,46,121,41,41,29
Shadyside,69,7484.0,360.919658649,6134.0,363.641306785,1350.0,210.563529605
Sheraden,70,2202.0,195.269045166,1698.0,187.912213547,504.0,125.479081922
South Oakland,71,1155.0,150.512457957,876.0,138.470213404,279.0,87.8066056741
South Shore,72,8,9,8,9,0,10
South Side Flats,73,3311.0,264.567571709,2604.0,253.822772817,707.0,140.50622762
South Side Slopes,74,1988.0,173.329166617,1556.0,173.251262621,432.0,87.7439456601
Spring Garden,75,397.0,60.811183182,263.0,50.3289181286,134.0,41.8688428309
Spring Hill-City View,76,1080.0,138.166566144,713.0,135.262707351,367.0,109.229116997
Squirrel Hill North,77,3370.0,187.890925805,2609.0,182.145546198,761.0,127.169178656
Squirrel Hill South,78,7211.0,332.601864095,4999.0,315.486925244,2212.0,249.80192153
St. Clair,79,101,42,77,33,24,27
Stanton Heights,80,2056.0,129.046503246,1532.0,136.080858316,524.0,106.254411673
Strip District,81,520,53,483,54,37,25
Summer Hill,82,517,16,442,29,75,25
Swisshelm Park,83,577,58,459,62,118,36
Terrace Village,84,831.0,105.271078649,457.0,93.7656653578,374.0,81.7863069224
Troy Hill,85,1158.0,147.800541271,804.0,130.80137614,354.0,106.887791632
Upper Hill,86,942.0,159.965621306,603.0,150.910569544,339.0,108.083301208
Upper Lawrenceville,87,1287.0,137.091210513,998.0,141.322326615,289.0,92.3309265631
West End,88,99,47,81,49,18,16
West Oakland,89,630.0,79.61155695,334.0,64.6606526413,296.0,66.2419806467
Westwood,90,1492.0,112.53888217,1189.0,120.507261192,303.0,81.5659242576
Windgap,91,647.0,100.124921973,472.0,100.568384694,175.0,65.5133574166
